,name,age,height(cm)
264,Kathleen,80,160
265,Michael,37,141
266,Corey,41,127
267,Curtis,26,127
268,Billy,56,182
269,Lance,47,125
270,Janice,11,140
271,Eugene,62,145
272,Ida,34,168
273,John,42,124
274,George,77,154
275,Jerry,54,153
276,Cora,23,124
277,Donald,75,128
278,Leona,13,147
279,Rosemarie,37,128
280,Ruth,59,147
281,Barry,23,126
282,Todd,42,168
283,Donald,80,122
284,Norman,26,128
285,Hector,54,157
286,Rick,56,123
287,Arnold,49,156
288,Wanda,30,150
289,Ann,52,155
290,Sabrina,66,134
291,Charles,26,151
292,Alexis,50,167
293,Mindy,66,136
294,Noel,49,132
295,David,37,134
296,Beth,68,164
297,Grace,53,146
298,Romana,73,151
299,Lawrence,59,144
300,Herschel,51,184
301,Joseph,16,155
302,Toni,34,159
303,William,19,132
304,Beatrice,72,129
305,Patricia,69,136
306,Roy,69,120
307,Rafael,34,134
308,John,37,120
309,Derek,68,137
310,Evalyn,41,145
311,Cyril,28,130
312,Jacquelyn,62,139
313,Wade,78,159
314,Kelsey,63,159
315,Dana,23,150
316,Allison,30,130
317,Travis,28,145
318,Bernice,62,167
319,Brian,76,147
320,Shirley,54,170
321,Michael,25,155
322,Anthony,14,149
323,Joanne,28,148
324,Terry,80,124
325,Phyllis,63,144
326,Jody,40,159
327,David,75,146
328,Douglas,63,161
329,Bonita,37,160
330,Delora,47,168
331,Martin,55,158
332,Steven,10,149
333,Nicholas,77,162
334,John,70,141
335,Ruby,73,135
336,Sidney,34,126
337,Leslie,24,140
338,David,46,142
339,Bruce,13,122
340,Dorothy,77,148
341,Shirley,45,125
342,Misty,45,154
343,Felicia,58,128
344,Loyd,46,170
345,Kevin,14,142
346,Michael,67,134
347,Ines,31,126
348,Michael,23,120
349,Andrew,69,147
350,Jennie,53,151
351,Betty,18,129
352,Emerson,39,138
353,George,11,130
354,Wanda,41,142
355,Ina,36,124
356,Veronica,69,145
357,Jessica,42,160
358,Edith,23,134
359,Donald,73,145
360,Lecia,52,145
361,Brenda,80,126
362,Eddie,15,144
363,Marian,66,149
364,Angela,14,144
365,Mary,75,122
366,Jeremy,46,133
367,Peter,38,122
368,Joseph,51,125
369,Wallace,30,127
370,Lisa,15,125
371,Betty,20,135
372,Beatrice,49,175
373,Dane,49,165
374,Angela,12,124
375,Rosalie,45,174
376,Michelle,63,120
377,Clarence,51,182
378,James,33,143
379,Manuel,25,154
380,James,41,158
381,Mike,21,150
382,Gloria,28,154
383,Lois,74,147
384,Elsie,62,145
385,John,55,130
386,Jeffery,14,145
387,Ruby,48,170
388,Joseph,52,134
389,Willie,27,150
390,Michael,30,147
391,Tom,42,180
392,June,34,150
393,Nicholas,14,153
394,Gladys,51,183
395,Jacqueline,29,157
396,Carla,77,126
397,Jean,16,125
398,Cythia,64,158
399,James,35,175
400,Virginia,53,125
401,Roberto,12,130
402,Harriet,46,131
403,Benjamin,38,157
404,Henry,55,175
405,Lawrence,28,158
406,Diana,53,157
407,Lillie,63,124
408,Dustin,65,168
409,Tosha,24,142
410,Carolyn,18,156
411,Kristina,15,141
412,Robert,44,166
413,Linda,71,153
414,James,24,164
415,Alexander,27,157
416,Craig,17,155
417,Ora,66,137
418,Trenton,52,127
419,Mildred,10,146
420,Victor,56,174
421,Emily,46,144
422,Danna,46,123
423,Megan,50,175
424,John,28,131
425,Stephen,31,155
426,Lisa,26,163
427,Ralph,13,125
428,Mark,11,122
429,Charles,26,129
430,Richard,11,127
431,Dolores,43,122
432,Jan,28,163
433,Jeremy,65,166
434,Brian,36,151
435,Steven,70,159
436,Vera,24,126
437,Harry,35,157
438,Jesus,21,149
439,David,44,184
440,Rebecca,38,143
441,Doris,62,123
442,Kenneth,66,150
443,David,80,131
444,Ronald,36,138
445,Dallas,55,166
446,Richard,64,158
447,Stanley,40,138
448,Donna,27,133
449,Todd,52,177
450,Karen,75,121
451,Mario,60,178
452,Deborah,64,157
453,Greg,53,186
454,Theresa,59,127
455,Julio,32,131
456,Edward,54,141
457,Cindy,44,135
458,David,62,125
459,Sheryl,45,136
460,David,69,149
461,Nancy,61,132
462,Renee,60,174
463,Geraldine,50,179
464,Sandy,53,163
465,Patricia,55,177
466,Edith,76,138
467,Virginia,21,152
468,Jason,57,144
469,Neil,47,147
470,John,70,122
471,Stephen,11,122
472,Ada,40,139
473,John,72,124
474,John,26,164
475,Sean,80,126
476,Brittney,18,135
477,Arlene,24,132
478,Joseph,37,123
479,Ann,65,125
480,Nathan,66,126
481,Ellis,34,126
482,Jesse,41,180
483,Samuel,65,166
484,Joyce,69,156
485,Gary,27,124
486,Linda,55,170
487,Ernest,24,141
488,Alison,27,142
489,Beatrice,47,126
490,George,36,144
491,Porfirio,63,142
492,Benjamin,41,181
493,Debra,13,138
494,Debra,49,184
495,Michelle,33,158
496,Joyce,66,135
497,Timothy,61,166
498,Andy,21,129
499,Donald,20,133
500,William,70,170
501,Alan,20,150
502,Cathy,28,134
503,Veronica,12,135
504,Beverly,67,126
505,Latosha,31,120
506,Olga,38,128
507,Irene,74,166
508,Elaine,65,144
509,Marvin,59,156
510,Alfredo,14,133
511,Jo,77,136
512,Patricia,19,126
513,Maribeth,30,160
514,George,49,146
515,Nicholas,29,122
516,Arthur,76,163
517,Audrey,12,140
518,Andres,14,132
519,Wanda,67,161
520,Marla,37,173
521,Jo,68,140
522,Kenneth,21,156
523,James,70,146
524,Stacy,39,127
525,Matthew,77,151
526,Edwin,47,185
527,Gary,39,127
528,Stuart,20,152
529,Paula,44,133
530,Susan,80,144
531,Henry,38,170
532,Louella,76,164
533,Hugh,10,145
534,Karin,37,151
535,Araceli,80,126
536,Maya,22,142
537,Adam,22,144
538,Nelson,68,131
539,James,19,135
540,Rita,68,165
541,Stefan,13,152
542,Sandra,40,163
543,Glynda,49,185
544,Desmond,52,135
545,Wanda,17,122
546,Kenneth,50,132
547,Elizabeth,44,176
548,Thomas,71,129
549,Ronald,63,149
550,Daniel,61,162
551,Carmen,47,156
552,Karla,67,129
553,Juanita,44,158
554,Marybeth,44,162
555,Michael,12,141
556,John,78,138
557,Effie,65,168
558,Geneva,69,168
559,David,49,132
560,Alfonso,33,160
561,Alma,35,171
562,Rex,50,161
563,Kathryn,40,172
564,Bernard,35,128
565,Ruby,79,126
566,Harvey,35,154
567,Jennifer,65,145
568,Patricia,79,159
569,Linda,11,120
570,Gail,44,159
571,Robin,38,165
572,Kristen,36,172
573,Jessie,49,177
574,Annabel,30,127
575,Paige,17,127
576,Elizabeth,59,159
577,Michelle,30,147
578,Alexander,64,121
579,Sandra,57,124
580,Carolyn,23,160
581,Mary,46,125
582,Marcia,72,136
583,Betty,51,169
584,Chris,50,149
585,George,66,164
586,Sylvia,45,165
587,Grace,37,174
588,Lynn,51,163
589,Amy,31,136
590,David,62,139
591,Pamela,57,158
592,Robert,45,182
593,Marcus,78,122
594,Ingeborg,25,146
595,Anthony,20,143
596,Millie,31,169
597,Darren,30,151
598,Jestine,50,171
599,Josie,19,133
600,Robert,31,142
601,Richard,39,161
602,Jose,22,156
603,Robert,11,128
604,Kathleen,64,123
605,Mildred,34,143
606,Ann,19,144
607,Steven,72,153
608,Flossie,67,162
609,John,38,120
610,David,11,151
611,Jeffrey,76,145
612,Phillip,60,152
613,Tiffany,44,142
614,Nathan,38,154
615,Albert,68,136
616,Troy,12,140
617,Andrea,51,186
618,Tanya,36,125
619,Sonja,28,135
620,Gale,57,169
621,William,49,128
622,Harold,56,162
623,Joseph,59,173
624,Joseph,39,167
625,Gillian,48,180
626,Kendrick,61,147
627,Michael,52,181
628,Marvin,14,126
629,Steven,80,145
630,Max,20,120
631,Darryl,30,143
632,Billy,30,150
633,Richard,15,152
634,Casey,46,120
635,Mellissa,77,150
636,Craig,33,120
637,Maryellen,51,156
638,Jordan,56,128
639,Lisa,18,127
640,Julian,21,134
641,Michael,50,148
642,Ivory,35,166
643,Twanda,70,163
644,Pearl,27,152
645,Steven,19,137
646,Marcia,60,168
647,Ruth,30,146
648,Amy,43,145
649,John,15,121
650,Joyce,54,142
651,Richard,42,123
652,Adan,14,144
653,Irene,44,142
654,Vicente,45,133
655,James,53,177
656,Sam,80,125
657,Diana,19,121
658,Sharon,10,123
659,Barry,22,125
660,Corey,58,129
661,Nora,75,160
662,Micheal,49,187
663,Constance,12,150
664,Steven,77,129
665,Travis,35,149
666,Gabriel,59,126
667,Marcus,13,120
668,Shiela,26,153
669,Courtney,29,134
670,Dennis,79,140
671,Daisy,19,120
672,Juan,43,164
673,William,44,136
674,Raymond,72,130
675,Linn,67,171
676,Jeremy,41,150
677,Duane,25,125
678,Mario,54,185
679,Timothy,57,129
680,Viola,15,133
681,Sandy,57,168
682,Scott,75,124
683,Barbara,11,140
684,Pamela,13,122
685,Maurice,22,159
686,Michele,79,124
687,Michael,54,125
688,Angel,61,128
689,Terry,48,148
690,Doris,80,126
691,Sean,26,138
692,Charles,17,136
693,Jason,15,137
694,Harold,59,123
695,Shiela,69,121
696,Milagros,70,122
697,Julie,47,164
698,Ruth,70,160
699,Charles,61,168
700,Karen,31,156
701,Kimberley,43,134
702,Cora,79,155
703,Veronica,21,128
704,Frederick,64,127
705,Edith,77,163
706,Carl,45,185
707,Charles,59,180
708,Kevin,66,152
709,Larry,33,164
710,Roberta,14,152
711,Gary,32,128
712,Donna,61,162
713,Melanie,68,164
714,Angel,68,136
715,Robert,51,157
716,John,36,138
717,Mary,59,181
718,Peter,57,168
719,Kathy,74,128
720,Ebony,17,146
721,Mckinley,54,129
722,Robert,58,170
723,Jonathan,63,146
724,Norman,14,135
725,Casandra,10,125
726,Amber,44,150
727,Justin,58,182
728,Rick,66,149
729,Jason,52,147
730,Charlene,22,156
731,Nathan,56,164
732,Norma,63,158
733,Yolanda,41,178
734,Shari,42,145
735,Mara,13,121
736,Jessica,14,151
737,Violet,60,160
738,James,80,138
739,Mildred,11,142
740,William,37,165
741,Michael,13,128
742,Thomas,65,129
743,Jon,53,171
744,Florence,43,164
745,Clifford,29,169
746,Edward,51,124
747,Harold,23,145
748,Virginia,50,158
749,Kevin,44,137
750,Paul,67,161
751,Catharine,55,130
752,Nora,57,164
753,Patricia,39,129
754,Matthew,38,176
755,Kathleen,10,141
756,Shaun,43,173
757,Jerry,29,149
758,Edgar,35,121
759,Joyce,28,123
760,Robert,76,152
761,Thomas,56,121
762,Tamara,46,181
763,Bonnie,40,136
764,Cesar,45,158
765,Lewis,21,159
766,Barbara,45,160
767,Sue,20,158
768,Alfred,12,150
769,Glen,29,128
770,Benjamin,22,162
771,Helen,35,136
772,Marie,57,153
773,Alvaro,52,139
774,Constance,36,155
775,Shanna,42,125
776,Ricky,28,153
777,Mattie,17,143
778,Bertha,62,166
779,Harriet,11,142
780,Sandra,23,131
781,Daniel,22,128
782,James,21,133
783,Pearlie,31,156
784,Jose,27,142
785,Cindy,51,131
786,Gavin,32,166
787,Kari,69,167
788,Christine,38,143
789,Vincent,10,137
790,Allene,72,165
791,Timothy,66,144
792,Wesley,57,179
793,Jane,73,138
794,Ralph,70,170
795,Dorothy,22,162
796,Glen,20,144
797,Larry,50,162
798,Jacqueline,56,122
799,Jade,39,155
800,Christopher,78,140
801,Melba,39,177
802,George,15,143
803,Phyllis,45,156
804,Lee,77,162
805,Jay,25,136
806,Gladys,69,154
807,Elizabeth,47,144
808,Patricia,14,143
809,Tiffany,37,131
810,Joshua,21,150
811,Joshua,42,149
812,Erma,69,164
813,Ivette,50,129
814,Bonita,74,161
815,Laura,40,175
816,Thomas,11,121
817,Tiffany,44,163
818,Clifford,39,160
819,Amy,41,143
820,Derek,46,173
821,Mitchel,75,151
822,Doug,18,124
823,Ruth,40,127
824,Margaret,76,146
825,David,44,135
826,Sarah,30,145
827,Sarah,33,142
828,Geraldine,50,161
829,Marilyn,11,133
830,Margaret,79,145
831,Roy,56,170
832,Guadalupe,74,155
833,Lester,33,151
834,Marilyn,41,138
835,Johnny,18,150
836,Ronnie,26,130
837,Paul,65,150
838,John,30,144
839,Sean,78,132
840,Charles,49,151
841,Leann,73,161
842,Yvette,23,144
843,Lynn,50,140
844,John,41,165
845,Kimberlee,41,128
846,James,26,158
847,Jeffrey,72,155
848,Donald,77,139
849,Leonardo,10,138
850,Denise,73,142
851,Janice,80,136
852,Jessica,64,168
853,Alexandra,54,162
854,Lester,54,140
855,Walter,74,150
856,Sharon,18,146
857,Patrick,77,153
858,Robert,20,147
859,Andre,27,148
860,Neville,47,138
861,Jennifer,14,152
862,Matthew,57,164
863,Virginia,62,132
864,Stanley,16,131
865,Myrtle,51,185
866,Emily,31,124
867,Javier,77,130
868,Donnell,73,136
869,Jean,74,129
870,Carmen,68,123
871,Ervin,44,156
872,William,43,149
873,Glenn,59,168
874,Troy,66,149
875,James,43,121
876,George,57,167
877,Sherri,78,144
878,Jordan,33,169
879,Joan,55,183
880,Ralph,30,129
881,Paul,69,165
882,Caroline,37,171
883,Chad,52,145
884,Cindy,42,131
885,James,62,161
886,Mark,53,151
887,Leslie,24,141
888,Daniel,21,159
889,Robert,21,144
890,Dorothy,74,163
891,Kristin,60,131
892,Jonathan,13,150
893,Susan,53,185
894,Ola,28,153
895,Christopher,73,140
896,Karin,69,136
897,James,40,166
898,Myra,67,159
899,Herman,66,172
900,Bertha,65,132
901,Dora,62,176
902,Cortez,36,156
903,Faith,41,123
904,Willa,44,168
905,Alice,63,160
906,Daniel,47,140
907,Jeanette,32,165
908,Sam,32,169
909,Mario,33,122
910,Julie,25,131
911,Adrian,40,177
912,James,80,121
913,Lashonda,36,134
914,Pauline,77,163
915,Joyce,69,141
916,Eduardo,34,129
917,Oleta,13,120
918,Rose,26,145
919,Addie,28,137
920,Kathleen,50,139
921,Julia,14,142
922,John,38,155
923,Jamaal,18,138
924,Gloria,80,127
925,Belinda,68,156
926,Marcos,15,149
927,Thomas,17,144
928,Kim,48,166
929,Jessie,30,163
930,Matthew,76,145
931,Ethan,20,142
932,Gary,55,155
933,Herbert,66,172
934,Lucille,59,133
935,Augustine,61,121
936,Karen,68,133
937,Lewis,40,127
938,Charlotte,26,129
939,Chuck,44,152
940,Josephine,48,181
941,George,47,137
942,Gilbert,67,129
943,Gregory,59,156
944,Heather,48,158
945,Mary,14,146
946,Alicia,54,120
947,Susan,39,129
948,Sarah,12,126
949,Rebecca,64,120
950,Louis,41,155
951,Eileen,64,143
952,Robert,10,121
953,Neil,23,153
954,Jennifer,18,158
955,Jason,43,130
956,Carl,16,129
957,Mark,42,176
958,Gregory,18,149
959,Melvin,21,124
960,Casey,77,145
961,Jackeline,68,168
962,Craig,38,136
963,William,32,169
964,Scott,68,145
965,Phillip,10,149
966,Chester,60,162
967,Roy,48,185
968,April,49,170
969,Mary,25,136
970,Stephen,21,129
971,John,46,137
972,Helen,42,122
973,Carmen,28,164
974,John,66,152
975,Lucille,71,156
976,John,30,137
977,Lou,56,142
978,Jose,78,120
979,Grace,71,125
980,Henry,57,156
981,Duane,36,174
982,Mark,71,154
983,Andrew,11,140
984,David,37,148
985,Adam,64,146
986,Ervin,19,130
987,Cassie,37,128
988,Evon,13,141
989,Shawn,12,143
990,Kenneth,18,150
991,Janice,29,141
992,Michael,56,169
993,Christopher,35,145
994,Melody,41,172
995,Luis,34,131
996,Jim,10,127
997,Eve,62,158
998,June,30,162
999,Lana,61,172
